sku_id,warehouse,week_start,training_weeks,predicted_units,actual_units,error_units,absolute_error_units
BUNDLE-01,east,2026-07-06,8,136.7,152.0,-15.3,15.3
BUNDLE-01,east,2026-07-13,9,140.8,140.0,0.8,0.8
BUNDLE-01,east,2026-07-20,10,140.8,140.0,0.8,0.8
BUNDLE-01,east,2026-07-27,11,140.9,142.0,-1.1,1.1
BUNDLE-01,west,2026-07-06,8,79.3,81.0,-1.7,1.7
BUNDLE-01,west,2026-07-13,9,79.7,86.0,-6.3,6.3
BUNDLE-01,west,2026-07-20,10,81.6,71.0,10.6,10.6
BUNDLE-01,west,2026-07-27,11,78.4,81.0,-2.6,2.6
HOME-CLEAN-01,east,2026-07-06,8,471.6,454.0,17.6,17.6
HOME-CLEAN-01,east,2026-07-13,9,466.0,458.0,8.0,8.0
HOME-CLEAN-01,east,2026-07-20,10,460.9,564.0,-103.1,103.1
HOME-CLEAN-01,east,2026-07-27,11,491.8,534.0,-42.2,42.2
HOME-CLEAN-01,west,2026-07-06,8,267.6,278.0,-10.4,10.4
HOME-CLEAN-01,west,2026-07-13,9,270.5,291.0,-20.5,20.5
HOME-CLEAN-01,west,2026-07-20,10,277.6,325.0,-47.4,47.4
HOME-CLEAN-01,west,2026-07-27,11,292.7,288.0,4.7,4.7
HOME-CLEAN-02,east,2026-07-06,8,312.5,303.0,9.5,9.5
HOME-CLEAN-02,east,2026-07-13,9,308.5,309.0,-0.5,0.5
HOME-CLEAN-02,east,2026-07-20,10,308.7,347.0,-38.3,38.3
HOME-CLEAN-02,east,2026-07-27,11,320.2,343.0,-22.8,22.8
HOME-CLEAN-02,west,2026-07-06,8,178.2,166.0,12.2,12.2
HOME-CLEAN-02,west,2026-07-13,9,174.2,179.0,-4.8,4.8
HOME-CLEAN-02,west,2026-07-20,10,174.6,180.0,-5.4,5.4
HOME-CLEAN-02,west,2026-07-27,11,175.7,181.0,-5.3,5.3
KITCHEN-01,east,2026-07-06,8,214.9,224.0,-9.1,9.1
KITCHEN-01,east,2026-07-13,9,218.5,227.0,-8.5,8.5
KITCHEN-01,east,2026-07-20,10,221.6,229.0,-7.4,7.4
KITCHEN-01,east,2026-07-27,11,223.9,226.0,-2.1,2.1
KITCHEN-01,west,2026-07-06,8,123.6,130.0,-6.4,6.4
KITCHEN-01,west,2026-07-13,9,125.6,136.0,-10.4,10.4
KITCHEN-01,west,2026-07-20,10,128.8,137.0,-8.2,8.2
KITCHEN-01,west,2026-07-27,11,131.8,122.0,9.8,9.8
LAUNDRY-01,east,2026-07-06,8,589.8,566.0,23.8,23.8
LAUNDRY-01,east,2026-07-13,9,581.6,659.0,-77.4,77.4
LAUNDRY-01,east,2026-07-20,10,604.0,761.0,-157.0,157.0
LAUNDRY-01,east,2026-07-27,11,654.0,620.0,34.0,34.0
LAUNDRY-01,west,2026-07-06,8,363.3,357.0,6.3,6.3
LAUNDRY-01,west,2026-07-13,9,360.7,346.0,14.7,14.7
LAUNDRY-01,west,2026-07-20,10,355.2,414.0,-58.8,58.8
LAUNDRY-01,west,2026-07-27,11,371.6,349.0,22.6,22.6
LAUNDRY-02,east,2026-07-06,8,353.2,346.0,7.2,7.2
LAUNDRY-02,east,2026-07-13,9,350.8,373.0,-22.2,22.2
LAUNDRY-02,east,2026-07-20,10,357.5,362.0,-4.5,4.5
LAUNDRY-02,east,2026-07-27,11,360.3,360.0,0.3,0.3
LAUNDRY-02,west,2026-07-06,8,192.5,222.0,-29.5,29.5
LAUNDRY-02,west,2026-07-13,9,200.7,206.0,-5.3,5.3
LAUNDRY-02,west,2026-07-20,10,203.2,212.0,-8.8,8.8
LAUNDRY-02,west,2026-07-27,11,206.3,194.0,12.3,12.3
