sku_id,category,warehouse,week_start,units_sold
HOME-CLEAN-01,home,east,2026-05-11,430
HOME-CLEAN-01,home,east,2026-05-18,471
HOME-CLEAN-01,home,east,2026-05-25,468
HOME-CLEAN-01,home,east,2026-06-01,485
HOME-CLEAN-01,home,east,2026-06-08,441
HOME-CLEAN-01,home,east,2026-06-15,508
HOME-CLEAN-01,home,east,2026-06-22,485
HOME-CLEAN-01,home,east,2026-06-29,455
HOME-CLEAN-01,home,east,2026-07-06,454
HOME-CLEAN-01,home,east,2026-07-13,458
HOME-CLEAN-01,home,east,2026-07-20,564
HOME-CLEAN-01,home,east,2026-07-27,534
HOME-CLEAN-01,home,west,2026-05-11,272
HOME-CLEAN-01,home,west,2026-05-18,253
HOME-CLEAN-01,home,west,2026-05-25,255
HOME-CLEAN-01,home,west,2026-06-01,294
HOME-CLEAN-01,home,west,2026-06-08,281
HOME-CLEAN-01,home,west,2026-06-15,258
HOME-CLEAN-01,home,west,2026-06-22,269
HOME-CLEAN-01,home,west,2026-06-29,267
HOME-CLEAN-01,home,west,2026-07-06,278
HOME-CLEAN-01,home,west,2026-07-13,291
HOME-CLEAN-01,home,west,2026-07-20,325
HOME-CLEAN-01,home,west,2026-07-27,288
HOME-CLEAN-02,home,east,2026-05-11,304
HOME-CLEAN-02,home,east,2026-05-18,310
HOME-CLEAN-02,home,east,2026-05-25,289
HOME-CLEAN-02,home,east,2026-06-01,298
HOME-CLEAN-02,home,east,2026-06-08,337
HOME-CLEAN-02,home,east,2026-06-15,303
HOME-CLEAN-02,home,east,2026-06-22,309
HOME-CLEAN-02,home,east,2026-06-29,318
HOME-CLEAN-02,home,east,2026-07-06,303
HOME-CLEAN-02,home,east,2026-07-13,309
HOME-CLEAN-02,home,east,2026-07-20,347
HOME-CLEAN-02,home,east,2026-07-27,343
HOME-CLEAN-02,home,west,2026-05-11,156
HOME-CLEAN-02,home,west,2026-05-18,168
HOME-CLEAN-02,home,west,2026-05-25,156
HOME-CLEAN-02,home,west,2026-06-01,155
HOME-CLEAN-02,home,west,2026-06-08,171
HOME-CLEAN-02,home,west,2026-06-15,187
HOME-CLEAN-02,home,west,2026-06-22,173
HOME-CLEAN-02,home,west,2026-06-29,189
HOME-CLEAN-02,home,west,2026-07-06,166
HOME-CLEAN-02,home,west,2026-07-13,179
HOME-CLEAN-02,home,west,2026-07-20,180
HOME-CLEAN-02,home,west,2026-07-27,181
LAUNDRY-01,laundry,east,2026-05-11,621
LAUNDRY-01,laundry,east,2026-05-18,612
LAUNDRY-01,laundry,east,2026-05-25,580
LAUNDRY-01,laundry,east,2026-06-01,558
LAUNDRY-01,laundry,east,2026-06-08,589
LAUNDRY-01,laundry,east,2026-06-15,612
LAUNDRY-01,laundry,east,2026-06-22,598
LAUNDRY-01,laundry,east,2026-06-29,570
LAUNDRY-01,laundry,east,2026-07-06,566
